referencia,estado,poluente_emitido,quantidade
2015,BAHIA,Material Particulado (MP),281968.7000000003
2015,PARANA,Monóxido de carbono,87.23
2015,RIO GRANDE DO SUL,Óxidos de nitrogênio (NOx),31789.98
2015,PARA,Óxidos de nitrogênio (NOx),8446.340000000002
2015,PARANA,Óxidos de enxofre (SOx),20419.74
2015,TOCANTINS,Óxidos de nitrogênio (NOx),4360.459999999998
2015,PARA,Monóxido de carbono (CO),153235.03
2015,ESPIRITO SANTO,Óxidos de nitrogênio (NOx),39054.869999999995
2015,DISTRITO FEDERAL,Óxidos de nitrogênio (NOx),1237.9499999999998
2015,AMAPA,Monóxido de carbono (CO),455.06000000000006
2015,RONDONIA,Monóxido de carbono (CO),107474.29999999996
2015,RONDONIA,Óxidos de nitrogênio (NOx),3481.72
2015,RIO DE JANEIRO,Óxidos de enxofre (SOx),15776134.530000001
2015,ACRE,Óxidos de nitrogênio (NOx),5115
2015,PARAIBA,Óxidos de enxofre (SOx),14820.650000000001
2015,MINAS GERAIS,Monóxido de carbono (CO),2796359.339999997
2015,AMAZONAS,Dióxido de enxofre,112.33
2015,AMAZONAS,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",25.15
2015,PIAUI,Material Particulado (MP),3591.6900000000005
